source_folder,source_image,target_image,classification,reviewed_matches_dirname,notes
3603-007291-0,3603-007291-0.jpg,North China Magazine 1940-1-12_Page_013.jpg,Negative,Matches,
3603-007296-0,3603-007296-0.jpg,North China Magazine 1940-1-12_Page_013.jpg,Positive,Matches,
3603-007296-0,3603-007296-0.jpg,North China Magazine 1940-1-12_Page_236_(2).jpg,Negative,Matches,
3603-007321-0,3603-007321-0.jpg,North China Magazine 1941-1-12_Page_057_(6).jpg,Positive,Matches,
3603-007354-0,3603-007354-0.jpg,North China Magazine 1941-1-12_Page_059_(1).jpg,Positive,Matches,
3603-007388-0,3603-007388-0.jpg,North China Magazine 1941-1-12_Page_057_(4).jpg,Positive,Matches,
3603-007397-0,3603-007397-0.jpg,North China Magazine 1941-1-12_Page_056_(1).jpg,Positive,Matches,
3603-007403-0,3603-007403-0.jpg,North China Magazine 1940-1-12_Page_136.jpg,Positive,Matches,
3603-007404-0,3603-007404-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3603-007416-0,3603-007416-0.jpg,North China Magazine 1940-1-12_Page_535.jpg,Negative,Matches,
3603-007420-0_(1),3603-007420-0_(1).jpg,North China Magazine 1940-1-12_Page_535.jpg,Positive,Matches,
3603-007424-0_(1),3603-007424-0_(1).jpg,North China Magazine 1940-1-12_Page_535.jpg,Positive,Matches,
3603-007504-0_(1),3603-007504-0_(1).jpg,North China Magazine 1942-1-12_Page_490_(4).jpg,Negative,Matches,
3603-007504-0_(2),3603-007504-0_(2).jpg,North China Magazine 1942-1-12_Page_490_(4).jpg,Negative,Matches,
3603-007570-0,3603-007570-0.jpg,North China Magazine 1940-1-12_Page_602.jpg,Positive,Matches,
3603-007570-0,3603-007570-0.jpg,North China Magazine 1940-1-12_Page_603.jpg,Positive,Matches,
3603-007593-0,3603-007593-0.jpg,North China Magazine 1940-1-12_Page_002.jpg,Negative,Matches,
3603-007595-0,3603-007595-0.jpg,North China Magazine 1942-1-12_Page_216.jpg,Negative,Matches,
3603-007655-0,3603-007655-0.jpg,North China Magazine 1940-1-12_Page_169.jpg,Positive,Matches,
3603-007674-0,3603-007674-0.jpg,North China Magazine 1942-1-12_Page_490_(4).jpg,Negative,Matches,
3603-007691-0,3603-007691-0.jpg,North China Magazine 1942-1-12_Page_491.jpg,Positive,Matches,
3603-007693-0,3603-007693-0.jpg,North China Magazine 1939-6-12_Page_338_(1).jpg,Positive,Matches,
3603-007693-0,3603-007693-0.jpg,North China Magazine 1939-6-12_Page_339_(1).jpg,Positive,Matches,
3603-007774-0_(1),3603-007774-0_(1).jpg,North China Magazine 1942-1-12_Page_501_(3).jpg,Positive,Matches,
3603-007775-0_(2),3603-007775-0_(2).jpg,North China Magazine 1942-1-12_Page_501_(3).jpg,Positive,Matches,
3603-007788-0_(2),3603-007788-0_(2).jpg,North China Magazine 1942-1-12_Page_501_(2).jpg,Positive,Matches,
3603-007789-1_(2),3603-007789-1_(2).jpg,North China Magazine 1942-1-12_Page_501_(2).jpg,Positive,Matches,
3603-007854-0,3603-007854-0.jpg,North China Magazine 1939-6-12_Page_027_(2).jpg,Positive,Matches,
3603-007865-0,3603-007865-0.jpg,North China Magazine 1942-1-12_Page_073.jpg,Positive,Matches,
3603-007869-0,3603-007869-0.jpg,North China Magazine 1942-1-12_Page_077.jpg,Negative,Matches,
3603-007883-0,3603-007883-0.jpg,North China Magazine 1939-6-12_Page_176_(1).jpg,Negative,Matches,
3603-007883-0,3603-007883-0.jpg,North China Magazine 1940-1-12_Page_437.jpg,Negative,Matches,
3603-007886-0,3603-007886-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3603-007894-0,3603-007894-0.jpg,North China Magazine 1942-1-12_Page_490_(4).jpg,Negative,Matches,
3603-007902-0,3603-007902-0.jpg,North China Magazine 1942-1-12_Page_490_(3).jpg,Positive,Matches,
3603-007924-0,3603-007924-0.jpg,North China Magazine 1942-1-12_Page_073.jpg,Negative,Matches,
3603-007935-0,3603-007935-0.jpg,North China Magazine 1942-1-12_Page_291_(3).jpg,Positive,Matches,
3603-007950-0,3603-007950-0.jpg,North China Magazine 1940-1-12_Page_028_(3).jpg,Positive,Matches,
3603-007958-0,3603-007958-0.jpg,North China Magazine 1940-1-12_Page_327_(2).jpg,Positive,Matches,
3603-007962-1,3603-007962-1.jpg,North China Magazine 1942-1-12_Page_332_(2).jpg,Positive,Matches,
3603-007989-0,3603-007989-0.jpg,North China Magazine 1939-6-12_Page_127_(2).jpg,Negative,Matches,
3603-008278-0,3603-008278-0.jpg,North China Magazine 1942-1-12_Page_602_(3).jpg,Positive,Matches,
3603-008296-0,3603-008296-0.jpg,North China Magazine 1941-1-12_Page_325_(2).jpg,Negative,Matches,
3603-008340-0,3603-008340-0.jpg,North China Magazine 1940-1-12_Page_461_(3).jpg,Positive,Matches,
3603-008350-0,3603-008350-0.jpg,North China Magazine 1939-6-12_Page_181_(3).jpg,Positive,Matches,
3603-008360-0,3603-008360-0.jpg,North China Magazine 1940-1-12_Page_382.jpg,Negative,Matches,
3603-008368-0,3603-008368-0.jpg,North China Magazine 1939-6-12_Page_326_(1).jpg,Negative,Matches,
3603-008368-0,3603-008368-0.jpg,North China Magazine 1941-1-12_Page_077_(1).jpg,Negative,Matches,
3603-008368-0,3603-008368-0.jpg,North China Magazine 1942-1-12_Page_119.jpg,Negative,Matches,
3603-008368-0,3603-008368-0.jpg,North China Magazine 1942-1-12_Page_543_(2).jpg,Positive,Matches,
3603-008440-0,3603-008440-0.jpg,North China Magazine 1940-1-12_Page_229_(1).jpg,Negative,Matches,
3603-008441-0,3603-008441-0.jpg,North China Magazine 1940-1-12_Page_229_(1).jpg,Positive,Matches,
3603-008531-0,3603-008531-0.jpg,North China Magazine 1941-1-12_Page_070.jpg,Positive,Matches,
3603-008533-0,3603-008533-0.jpg,North China Magazine 1941-1-12_Page_136.jpg,Positive,Matches,
3603-008557-0,3603-008557-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3603-008617-0,3603-008617-0.jpg,North China Magazine 1941-1-12_Page_180.jpg,Negative,Matches,
3603-008618-0,3603-008618-0.jpg,North China Magazine 1941-1-12_Page_180.jpg,Negative,Matches,
3603-008619-0,3603-008619-0.jpg,North China Magazine 1941-1-12_Page_181_(2).jpg,Negative,Matches,
3603-008619-0,3603-008619-0.jpg,North China Magazine 1942-1-12_Page_122_(2).jpg,Negative,Matches,
3603-008667-0,3603-008667-0.jpg,North China Magazine 1941-1-12_Page_181_(2).jpg,Negative,Matches,
3603-008667-0,3603-008667-0.jpg,North China Magazine 1942-1-12_Page_122_(2).jpg,Positive,Matches,
3603-008669-0,3603-008669-0.jpg,North China Magazine 1942-1-12_Page_122_(2).jpg,Negative,Matches,
3603-008670-0,3603-008670-0.jpg,North China Magazine 1941-1-12_Page_180.jpg,Negative,Matches,
